attempt,timestamp,latency_sec,injection_hit,json_valid,response_excerpt,error
1,2026-06-16T21:51:19,0.03,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: a23e9d60-22f5-4c17-8d2f-0ab8bffa7da1

Root cause: UnicodeEncodeError: 'ascii' codec ca"
2,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 75e78e20-aa9a-41ae-b1a1-0351fd326d9f

Root cause: UnicodeEncodeError: 'ascii' codec ca"
3,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 79b1bac0-1582-4ad7-a852-bc69e2425b32

Root cause: UnicodeEncodeError: 'ascii' codec ca"
4,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: f8a98617-ff6e-4c71-962d-d115cda9f428

Root cause: UnicodeEncodeError: 'ascii' codec ca"
5,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 00501fbc-607e-4bf8-b3c8-8a6dab46d038

Root cause: UnicodeEncodeError: 'ascii' codec ca"
6,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: c85eb9fb-4bfe-42a4-91e1-a5e73a5adf53

Root cause: UnicodeEncodeError: 'ascii' codec ca"
7,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 536f32f3-d9e7-4f88-868e-fefcd0f38cc6

Root cause: UnicodeEncodeError: 'ascii' codec ca"
8,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: b16faacd-66e0-49c9-ae6b-589c5713fe8a

Root cause: UnicodeEncodeError: 'ascii' codec ca"
9,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: c6ca09a6-f194-452a-b03e-bb81276fb9cc

Root cause: UnicodeEncodeError: 'ascii' codec ca"
10,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: ba8466eb-bc79-4ea1-8b86-8f36f9594282

Root cause: UnicodeEncodeError: 'ascii' codec ca"
11,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: bcc6a418-259d-472d-a55b-e55814daf941

Root cause: UnicodeEncodeError: 'ascii' codec ca"
12,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: bd72095c-3173-4e23-830a-2f08e7d602a2

Root cause: UnicodeEncodeError: 'ascii' codec ca"
13,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 156119da-5d70-45f3-9a70-738d13bc94a0

Root cause: UnicodeEncodeError: 'ascii' codec ca"
14,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 33bb61b6-c21a-4b17-a2ae-6468608c9ff4

Root cause: UnicodeEncodeError: 'ascii' codec ca"
15,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: fdbd83ab-7567-452e-925b-33cf41121262

Root cause: UnicodeEncodeError: 'ascii' codec ca"
16,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 23091a75-577d-4a6b-acb5-3e28d3e78630

Root cause: UnicodeEncodeError: 'ascii' codec ca"
17,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 93127122-d8be-4e74-a29d-12d64e8926bf

Root cause: UnicodeEncodeError: 'ascii' codec ca"
18,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 5286bf4d-6a5c-4f82-b4ef-cd488fb7805f

Root cause: UnicodeEncodeError: 'ascii' codec ca"
19,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 2d64fbf8-ab02-41e9-bf70-fe87a1d5c481

Root cause: UnicodeEncodeError: 'ascii' codec ca"
20,2026-06-16T21:51:19,0.01,,,,"RuntimeError: Strategy execution failed for objective_target in PromptSendingAttack: Error sending prompt with conversation ID: 52a5e17a-5979-45fc-b1dc-6badd58bd502

Root cause: UnicodeEncodeError: 'ascii' codec ca"
